Date,Close
11/26/2018,77.79
11/27/2018,77.22
11/28/2018,79.09
11/29/2018,78.7
11/30/2018,79.3
12/3/2018,79.78
12/4/2018,76.18
12/6/2018,75.91
12/7/2018,74.48
12/10/2018,73.99
12/11/2018,73.92
12/12/2018,74.65
12/13/2018,73.51
12/14/2018,72.37
12/17/2018,70.37
12/18/2018,70.46
12/19/2018,68.91
12/20/2018,67.94
12/21/2018,66.37
12/24/2018,65.14
12/26/2018,68.17
12/27/2018,68.58
12/28/2018,68.9
12/31/2018,69.32
1/2/2019,69.64
1/3/2019,68.34
1/4/2019,70.81
1/7/2019,71.75
1/8/2019,72.84
1/9/2019,73.58
1/10/2019,73.84
1/11/2019,73.99
1/14/2019,73.36
1/15/2019,73.86
1/16/2019,74.43
1/17/2019,75.15
1/18/2019,75.91
1/22/2019,74.65
1/23/2019,74.52
1/24/2019,74.94
1/25/2019,75.76
1/28/2019,75.3
1/29/2019,75.29
1/30/2019,76.07
1/31/2019,76.69
2/1/2019,76.62
2/4/2019,77.6
2/5/2019,77.66
2/6/2019,77.55
2/7/2019,76.86
2/8/2019,76.82
2/11/2019,77.45
2/12/2019,78.5
2/13/2019,78.81
2/14/2019,78.99
2/15/2019,80.17
2/19/2019,80.61
2/20/2019,81.18
2/21/2019,80.8
2/22/2019,81.17
2/25/2019,80.99
2/26/2019,80.21
2/27/2019,80.33
2/28/2019,80.02
3/1/2019,80.48
3/4/2019,79.65
3/5/2019,79.32
3/6/2019,77.76
3/7/2019,76.95
3/8/2019,76.87
3/11/2019,78.1
3/12/2019,77.98
3/13/2019,78.28
3/14/2019,77.95
3/15/2019,77.97
3/18/2019,78.58
3/19/2019,78.01
3/20/2019,77.17
3/21/2019,78.18
3/22/2019,75.33
3/25/2019,75.69
3/26/2019,76.4
3/27/2019,76.38
3/28/2019,77.1
3/29/2019,77.15
4/1/2019,78.1
4/2/2019,77.66
4/3/2019,78.04
4/4/2019,78.66
4/5/2019,79.35
4/8/2019,79.29
4/9/2019,78.3
4/10/2019,79.49
4/11/2019,79.33
4/12/2019,79.69
4/15/2019,79.38
4/16/2019,79.7
4/17/2019,79.34
4/18/2019,79.06
4/22/2019,78.65
4/23/2019,79.81
4/24/2019,80.06
4/25/2019,79.23
4/26/2019,79.94
4/29/2019,80.33
4/30/2019,80.13
5/1/2019,79.41
5/2/2019,79.66
5/3/2019,81.23
5/6/2019,81.37
5/7/2019,79.88
5/8/2019,79.24
5/9/2019,79.06
5/10/2019,79.32
5/13/2019,76.84
5/14/2019,77.66
5/15/2019,77.8
5/16/2019,78.1
5/17/2019,76.83
5/20/2019,76.29
5/21/2019,77.31
5/22/2019,76.55
5/23/2019,74.73
5/24/2019,75.48
5/28/2019,74.98
5/29/2019,74.37
5/30/2019,74.16
5/31/2019,73.17
6/3/2019,73.55
6/4/2019,75.55
6/5/2019,75.38
6/6/2019,75.21
6/7/2019,75.7
6/10/2019,76.24
6/11/2019,76.07
6/12/2019,75.91
6/13/2019,76.8
6/14/2019,76.05
6/17/2019,75.87
6/18/2019,76.86
6/19/2019,77.05
6/20/2019,77.57
6/21/2019,76.94
6/24/2019,76.08
6/25/2019,75.69
6/26/2019,75.77
6/27/2019,77.25
6/28/2019,78.28
7/1/2019,78.44
7/2/2019,77.99
7/3/2019,78.43
7/5/2019,78.74
7/8/2019,77.91
7/9/2019,77.81
7/10/2019,78.02
7/11/2019,77.65
7/12/2019,78.33
7/15/2019,77.83
7/16/2019,77.91
7/17/2019,77.33
7/18/2019,77.48
7/19/2019,77.28
7/22/2019,77.17
7/23/2019,77.89
7/24/2019,79.2
7/25/2019,78.34
7/26/2019,79.14
7/29/2019,78.74
7/30/2019,79.59
7/31/2019,79.21
8/1/2019,78
8/2/2019,77.09
8/5/2019,75
8/6/2019,75.79
8/7/2019,75.91
8/8/2019,77.55
8/9/2019,76.59
8/12/2019,75.73
8/13/2019,76.52
8/14/2019,74.27
8/15/2019,73.99
8/16/2019,75.64
8/19/2019,76.42
8/20/2019,75.79
8/21/2019,76.4
8/22/2019,76.19
8/23/2019,73.86
8/26/2019,74.55
8/27/2019,73.61
8/28/2019,74.49
8/29/2019,75.73
8/30/2019,75.58
9/3/2019,74.54
9/4/2019,75.3
9/5/2019,76.77
9/6/2019,76.56
9/9/2019,77.73
9/10/2019,78.7
9/11/2019,80.27
9/12/2019,80.27
9/13/2019,80.4
9/16/2019,80.67
9/17/2019,80.49
9/18/2019,80.05
9/19/2019,79.53
9/20/2019,79.26
9/23/2019,79.32
9/24/2019,78.04
9/25/2019,79.08
9/26/2019,78.26
9/27/2019,77.79
9/30/2019,77.84
10/1/2019,76.31
10/2/2019,75.55
10/3/2019,75.66
10/4/2019,76.4
10/7/2019,76.34
10/8/2019,75.05
10/9/2019,75.29
10/10/2019,75.47
10/11/2019,76.85
10/14/2019,76.65
10/15/2019,77.49
10/16/2019,77.69
10/17/2019,78.57
10/18/2019,78.08
10/21/2019,78.83
10/22/2019,79.05
10/23/2019,79.25
10/24/2019,79.11
10/25/2019,79.58
10/28/2019,80.32
10/29/2019,80.64
10/30/2019,80.21
10/31/2019,79.42
11/1/2019,80.65
11/4/2019,81.31
11/5/2019,81.44
11/6/2019,81.07
11/7/2019,81.26
11/8/2019,81.38
11/11/2019,81.14
11/12/2019,81.11
11/13/2019,80.65
11/14/2019,80.49
11/15/2019,80.92
11/18/2019,80.56
11/19/2019,80.71
11/20/2019,80.28
11/21/2019,79.85
11/22/2019,80.04
11/25/2019,82.04
11/26/2019,81.97
11/27/2019,82.34
11/29/2019,81.81
12/2/2019,80.9
12/3/2019,80.57
12/4/2019,81.2
12/5/2019,81.47
12/6/2019,82.61
12/9/2019,82.39
12/10/2019,82.37
12/11/2019,82.35
12/12/2019,83.24
12/13/2019,82.71
